,precision,recall,f1-score,support
bike,0.5660377358490566,0.26548672566371684,0.3614457831325301,113.0
car,0.9508154284235051,0.9823482214495854,0.9663246514075243,3739.0
pt,0.8604060913705583,0.7306034482758621,0.7902097902097902,464.0
walk,0.9953667953667954,1.0,0.9976780185758514,1289.0
accuracy,0.9511150758251561,0.9511150758251561,0.9511150758251561,0.9511150758251561
macro avg,0.8431565127524788,0.7446095988472912,0.7789145608314241,5605.0
weighted avg,0.9458193357092182,0.9511150758251561,0.9467610265313693,5605.0
